SQL Instance Name,Environment,SQL Version,AwO Role,AwO Group Name(s),AwO Listener Name(s),AwO Listener IP(s),AwO Listener Port(s),Client Connection String
AUMCPSVPSQLAG01,Production,2012,Primary,PSQLAGA-AG01,PSQLAGA-AL01,10.105.75.57,1433,"PSQLAGA-AL01,1433"
AUMCPSVPSQLAG02,Production,2012,Secondary,,,,,
AUMCPSVPSQLAG02\SQLINST1,Production,2016,Primary,PSQLAGA-AG02,PSQLAGA-AL02,10.105.75.58,1533,"PSQLAGA-AL02,1533"
AUMCPSVPSQLAG01\SQLINST1,Production,2016,Secondary,,,,,
AUMCPSVPSQLAG03,Production,2016,Primary,PSQLAGB-AG01,PSQLAGB-AL01,10.105.75.59,1433,"PSQLAGB-AL01,1433"
AUMCPSVPSQLAG04,Production,2016,Secondary,,,,,
AUMCPSVPSQLAG04\SQLINST1,Production,2016,Primary,PSQLAGB-AG02,PSQLAGB-AL02,10.105.75.60,1533,"PSQLAGB-AL02,1533"
AUMCPSVPSQLAG03\SQLINST1,Production,2016,Secondary,,,,,
AUMCPSVPSQLAG03\SQLINST2,Production,2014,Primary,PSQLAGB-AG03,PSQLAGB-AL03,10.105.75.61,1633,"PSQLAGB-AL03,1633"
AUMCPSVPSQLAG04\SQLINST2,Production,2014,Secondary,,,,,
AUMCPSVTSQLAG01,Test,2012,Primary,TSQLAGA-AG01,TSQLAGA-AL01,10.105.71.152,1433,"TSQLAGA-AL01,1433"
AUMCPSVTSQLAG02,Test,2012,Secondary,,,,,
AUMCPSVTSQLAG02\SQLINST1,Test,2016,Primary,TSQLAGA-AG02,TSQLAGA-AL02,10.105.71.153,1533,"TSQLAGA-AL02,1533"
AUMCPSVTSQLAG01\SQLINST1,Test,2016,Secondary,,,,,
AUMCPSVTSQLAG03,Test,2016,Primary,TSQLAGB-AG01,TSQLAGB-AL01,10.105.71.154,1433,"TSQLAGB-AL01,1433"
AUMCPSVTSQLAG04,Test,2016,Secondary,,,,,
AUMCPSVTSQLAG04\SQLINST1,Test,2016,Primary,TSQLAGB-AG02,TSQLAGB-AL02,10.105.71.155,1533,"TSQLAGB-AL02,1533"
AUMCPSVTSQLAG03\SQLINST1,Test,2016,Secondary,,,,,
AUMCPSVTSQLAG03\SQLINST2,Test,2014,Primary,TSQLAGB-AG03,TSQLAGB-AL03,10.105.71.156,1633,"TSQLAGB-AL03,1633"
AUMCPSVTSQLAG04\SQLINST2,Test,2014,Secondary,,,,,
,,,,,,,,
